i,d_cosine_ratio[i],d_coMat_ratio[i],s_cosine_ratio[i],s_coMat_ratio[i],countSq
88,0.153881293367,0.164493480441,0.210286963033,0.211581291759,87.0
89,0.339312421935,0.257073975384,0.362965784785,0.320155902004,1343.0
90,0.308316741535,0.262250518635,0.50078776861,0.422505139965,2202.0
91,0.642456871284,0.495689342458,0.622191625332,0.411330767644,92500.0
92,0.179344582965,0.327843540916,0.234527469111,0.347853142502,913.0
93,0.245069049694,0.206373616985,0.405174150188,0.299555555556,9992.0
94,0.204444051816,0.260047281324,0.240034691823,0.278278972935,286.0
95,0.340275540502,0.503804089396,0.313262809272,0.234310392355,4482.0
96,0.281820216217,0.285714285714,0.298272223187,0.262724330685,2409.0
97,0.345953241061,0.358641975309,0.648098242264,0.630294328787,215.0
99,0.29318928456,0.394366197183,0.300565389774,0.201966717095,156.0
100,0.23461332726,0.366053308077,0.292713393523,0.426872957758,39285.0
101,0.414469965468,0.285915072296,0.399019074766,0.22247706422,50137.0
102,0.232277997164,0.163248564397,0.208660459816,0.16,151.0
103,0.244027915459,0.343455815366,0.326073143494,0.268762677485,837.0
104,0.362497357202,0.301584307808,0.441187478851,0.291647753064,780.0
105,0.287734746403,0.283561331036,0.532562084695,0.358054111304,17783.0
106,0.654786665033,0.405298935889,0.61036977829,0.567545055278,12257.0
107,0.191701885447,0.15210688592,0.19194468958,0.145833333333,494.0
108,0.165596311315,0.268138451298,0.309046554413,0.430971683703,2952.0
109,0.384803982308,0.452256376717,0.421941874005,0.434666666667,785.0
110,0.0389669569624,0.122529644269,0.0282790301194,0.0805687203791,20.0
111,0.159705098477,0.0815501664289,0.196013791185,0.135961587061,770.0
112,0.168175167088,0.14897260274,0.190377187552,0.188863375431,844.0
113,0.359467157751,0.258173041761,0.666495833391,0.470910998144,1891.0
114,0.245779029155,0.292136812412,0.338243859723,0.321483097056,1425.0
115,0.242762005056,0.310175843182,0.139039334325,0.0427570954663,573.0
116,0.215462729861,0.37556561086,0.247819198289,0.407005838198,231.0
117,0.0199280552504,0.0231869758263,0.039066826927,0.0508658008658,396.0
118,0.173739912308,0.21694214876,0.175982732593,0.12754491018,323.0
119,0.125391061579,0.102862808279,0.261323819383,0.265541490858,3446.0
120,0.125550469296,0.0922523961661,0.171773401123,0.179571303587,1496.0
121,0.416413667099,0.526007655933,0.52068611095,0.639309984318,801.0
123,0.077064038457,0.0444345700955,0.0763864157471,0.0439727065959,1237.0
124,0.00701686781914,0.00934579439252,0.0288553143324,0.0196721311475,46.0
125,0.448599333991,0.396453982286,0.545873712691,0.414831666854,117776.0
126,0.363174341309,0.600443677594,0.615609114406,0.677326343381,517.0
127,0.189142137174,0.49451754386,0.465602242248,0.702127659574,675.0
128,0.213405137284,0.34278499498,0.35623172862,0.5411234728,35377.0
129,0.161142878713,0.378181818182,0.229257412777,0.418027828191,328.0
130,0.281918250288,0.351045612578,0.552308097415,0.655469918325,13826.0
131,0.240806949351,0.414726762424,0.454524132378,0.684788290643,2158.0
132,0.313516606866,0.310129220509,0.392082186348,0.314418604651,334.0
134,0.129276999604,0.287739368316,0.153074901538,0.27136,2926.0
135,0.330709909701,0.259614087168,0.444958795879,0.285478175945,5140.0
136,0.0398005437966,0.0885167464115,0.111675811731,0.16890080429,45.0
137,0.274523184628,0.246657754011,0.482529741531,0.418130165289,969.0
138,0.133239467799,0.315444562522,0.213229461372,0.296663296259,6906.0
139,0.10026147068,0.139335476956,0.12684867312,0.111377245509,103.0
140,0.0973120595314,0.380265026029,0.185741571693,0.44356812619,1083.0
141,0.324627626062,0.532887402453,0.379754627035,0.517205422315,111.0
142,0.0366207671577,0.0611881892565,0.197997593835,0.121200750469,11355.0
143,0.286688896299,0.253302934643,0.643333922519,0.410981279055,4786.0
144,0.160723738021,0.150695227358,0.446301488719,0.342265529842,500.0
145,0.581279694478,0.510440147739,0.588417375314,0.44974700463,43360.0
146,0.268808347789,0.316509837468,0.356426651259,0.409937888199,1586.0
148,0.228004824029,0.3921005386,0.374278941504,0.518162839248,508.0
149,0.000497929665385,0.00442477876106,0.055873636872,0.0890052356021,123.0
150,0.072608559255,0.255458515284,0.19995998145,0.251269035533,39.0
